is_day_off,day_off_in_row,day_off_in_future,day,month,year
0,0,0,3,4,12
0,0,0,4,4,12
0,0,0,5,4,12
0,0,0,6,4,12
1,1,2,7,4,12
1,2,1,8,4,12
0,0,0,9,4,12
0,0,0,10,4,12
0,0,0,11,4,12
0,0,0,12,4,12
0,0,0,13,4,12
1,1,2,14,4,12
1,2,1,15,4,12
0,0,0,16,4,12
0,0,0,17,4,12
0,0,0,18,4,12
0,0,0,19,4,12
0,0,0,20,4,12
1,1,2,21,4,12
1,2,1,22,4,12
0,0,0,23,4,12
1,1,1,24,4,12
0,0,0,25,4,12
0,0,0,26,4,12
0,0,0,27,4,12
1,1,2,28,4,12
1,2,1,29,4,12
0,0,0,30,4,12
1,1,1,1,5,12
0,0,0,2,5,12
1,1,1,3,5,12
0,0,0,4,5,12
1,1,2,5,5,12
1,2,1,6,5,12
0,0,0,7,5,12
0,0,0,8,5,12
1,1,1,9,5,12
0,0,0,10,5,12
0,0,0,11,5,12
1,1,2,12,5,12
1,2,1,13,5,12
0,0,0,14,5,12
0,0,0,15,5,12
0,0,0,16,5,12
0,0,0,17,5,12
0,0,0,18,5,12
1,1,2,19,5,12
1,2,1,20,5,12
0,0,0,21,5,12
0,0,0,22,5,12
0,0,0,23,5,12
0,0,0,24,5,12
0,0,0,25,5,12
1,1,2,26,5,12
1,2,1,27,5,12
0,0,0,28,5,12
0,0,0,29,5,12
0,0,0,30,5,12
0,0,0,31,5,12
0,0,0,1,6,12
1,1,2,2,6,12
1,2,1,3,6,12
0,0,0,4,6,12
0,0,0,5,6,12
0,0,0,6,6,12
0,0,0,7,6,12
0,0,0,8,6,12
1,1,2,9,6,12
1,2,1,10,6,12
0,0,0,11,6,12
0,0,0,12,6,12
0,0,0,13,6,12
0,0,0,14,6,12
0,0,0,15,6,12
1,1,2,16,6,12
1,2,1,17,6,12
0,0,0,18,6,12
0,0,0,19,6,12
0,0,0,20,6,12
0,0,0,21,6,12
0,0,0,22,6,12
1,1,2,23,6,12
1,2,1,24,6,12
0,0,0,25,6,12
0,0,0,26,6,12
0,0,0,27,6,12
0,0,0,28,6,12
0,0,0,29,6,12
1,1,2,30,6,12
1,2,1,1,7,12
0,0,0,2,7,12
1,1,1,3,7,12
0,0,0,4,7,12
0,0,0,5,7,12
0,0,0,6,7,12
1,1,2,7,7,12
1,2,1,8,7,12
0,0,0,9,7,12
0,0,0,10,7,12
0,0,0,11,7,12
0,0,0,12,7,12
0,0,0,13,7,12
1,1,2,14,7,12
1,2,1,15,7,12
0,0,0,16,7,12
0,0,0,17,7,12
0,0,0,18,7,12
0,0,0,19,7,12
0,0,0,20,7,12
1,1,2,21,7,12
1,2,1,22,7,12
0,0,0,23,7,12
0,0,0,24,7,12
0,0,0,25,7,12
0,0,0,26,7,12
0,0,0,27,7,12
1,1,2,28,7,12
1,2,1,29,7,12
0,0,0,30,7,12
0,0,0,31,7,12
0,0,0,1,8,12
0,0,0,2,8,12
0,0,0,3,8,12
1,1,2,4,8,12
1,2,1,5,8,12
0,0,0,6,8,12
0,0,0,7,8,12
0,0,0,8,8,12
0,0,0,9,8,12
0,0,0,10,8,12
1,1,2,11,8,12
1,2,1,12,8,12
0,0,0,13,8,12
0,0,0,14,8,12
0,0,0,15,8,12
0,0,0,16,8,12
0,0,0,17,8,12
1,1,2,18,8,12
1,2,1,19,8,12
0,0,0,20,8,12
0,0,0,21,8,12
0,0,0,22,8,12
0,0,0,23,8,12
0,0,0,24,8,12
1,1,2,25,8,12
1,2,1,26,8,12
0,0,0,27,8,12
0,0,0,28,8,12
0,0,0,29,8,12
0,0,0,30,8,12
0,0,0,31,8,12
1,1,2,1,9,12
1,2,1,2,9,12
0,0,0,3,9,12
0,0,0,4,9,12
0,0,0,5,9,12
0,0,0,6,9,12
0,0,0,7,9,12
1,1,2,8,9,12
1,2,1,9,9,12
0,0,0,10,9,12
0,0,0,11,9,12
0,0,0,12,9,12
0,0,0,13,9,12
0,0,0,14,9,12
1,1,2,15,9,12
1,2,1,16,9,12
0,0,0,17,9,12
0,0,0,18,9,12
0,0,0,19,9,12
0,0,0,20,9,12
0,0,0,21,9,12
1,1,2,22,9,12
1,2,1,23,9,12
0,0,0,24,9,12
0,0,0,25,9,12
0,0,0,26,9,12
0,0,0,27,9,12
0,0,0,28,9,12
1,1,2,29,9,12
1,2,1,30,9,12
0,0,0,1,10,12
0,0,0,2,10,12
0,0,0,3,10,12
0,0,0,4,10,12
0,0,0,5,10,12
1,1,2,6,10,12
1,2,1,7,10,12
0,0,0,8,10,12
0,0,0,9,10,12
0,0,0,10,10,12
0,0,0,11,10,12
0,0,0,12,10,12
1,1,2,13,10,12
1,2,1,14,10,12
0,0,0,15,10,12
0,0,0,16,10,12
0,0,0,17,10,12
0,0,0,18,10,12
0,0,0,19,10,12
1,1,2,20,10,12
1,2,1,21,10,12
0,0,0,22,10,12
0,0,0,23,10,12
0,0,0,24,10,12
0,0,0,25,10,12
0,0,0,26,10,12
1,1,2,27,10,12
1,2,1,28,10,12
0,0,0,29,10,12
0,0,0,30,10,12
0,0,0,31,10,12
0,0,0,1,11,12
0,0,0,2,11,12
1,1,2,3,11,12
1,2,1,4,11,12
0,0,0,5,11,12
0,0,0,6,11,12
1,1,1,7,11,12
0,0,0,8,11,12
0,0,0,9,11,12
1,1,2,10,11,12
1,2,1,11,11,12
0,0,0,12,11,12
0,0,0,13,11,12
0,0,0,14,11,12
0,0,0,15,11,12
0,0,0,16,11,12
1,1,2,17,11,12
1,2,1,18,11,12
0,0,0,19,11,12
0,0,0,20,11,12
0,0,0,21,11,12
0,0,0,22,11,12
0,0,0,23,11,12
1,1,2,24,11,12
1,2,1,25,11,12
0,0,0,26,11,12
0,0,0,27,11,12
0,0,0,28,11,12
0,0,0,29,11,12
0,0,0,30,11,12
1,1,2,1,12,12
1,2,1,2,12,12
0,0,0,3,12,12
0,0,0,4,12,12
0,0,0,5,12,12
0,0,0,6,12,12
0,0,0,7,12,12
1,1,2,8,12,12
1,2,1,9,12,12
0,0,0,10,12,12
0,0,0,11,12,12
0,0,0,12,12,12
0,0,0,13,12,12
0,0,0,14,12,12
1,1,2,15,12,12
1,2,1,16,12,12
0,0,0,17,12,12
0,0,0,18,12,12
0,0,0,19,12,12
0,0,0,20,12,12
0,0,0,21,12,12
0,0,0,22,12,12
1,1,3,23,12,12
1,2,2,24,12,12
1,3,1,25,12,12
0,0,0,26,12,12
0,0,0,27,12,12
0,0,0,28,12,12
0,0,0,29,12,12
1,1,4,30,12,12
1,2,3,31,12,12
1,3,2,1,1,13
1,4,1,2,1,13
0,0,0,3,1,13
0,0,0,4,1,13
0,0,0,5,1,13
1,1,2,6,1,13
1,2,1,7,1,13
0,0,0,8,1,13
0,0,0,9,1,13
0,0,0,10,1,13
0,0,0,11,1,13
1,1,2,12,1,13
1,2,1,13,1,13
0,0,0,14,1,13
0,0,0,15,1,13
0,0,0,16,1,13
0,0,0,17,1,13
0,0,0,18,1,13
1,1,2,19,1,13
1,2,1,20,1,13
0,0,0,21,1,13
0,0,0,22,1,13
0,0,0,23,1,13
0,0,0,24,1,13
0,0,0,25,1,13
1,1,2,26,1,13
1,2,1,27,1,13
0,0,0,28,1,13
0,0,0,29,1,13
0,0,0,30,1,13
0,0,0,31,1,13
0,0,0,1,2,13
1,1,2,2,2,13
1,2,1,3,2,13
0,0,0,4,2,13
0,0,0,5,2,13
0,0,0,6,2,13
0,0,0,7,2,13
0,0,0,8,2,13
1,1,2,9,2,13
1,2,1,10,2,13
0,0,0,11,2,13
0,0,0,12,2,13
0,0,0,13,2,13
0,0,0,14,2,13
0,0,0,15,2,13
1,1,2,16,2,13
1,2,1,17,2,13
0,0,0,18,2,13
0,0,0,19,2,13
0,0,0,20,2,13
0,0,0,21,2,13
0,0,0,22,2,13
1,1,2,23,2,13
1,2,1,24,2,13
0,0,0,25,2,13
0,0,0,26,2,13
0,0,0,27,2,13
0,0,0,28,2,13
0,0,0,1,3,13
1,1,2,2,3,13
1,2,1,3,3,13
0,0,0,4,3,13
0,0,0,5,3,13
0,0,0,6,3,13
0,0,0,7,3,13
1,1,3,8,3,13
1,2,2,9,3,13
1,3,1,10,3,13
0,0,0,11,3,13
0,0,0,12,3,13
